height,length,speed,strip,target_deltatime,deltatime_with_pitch,deltatime_without_pitch,error_with_pitch,error_without_pitch,horizontal_resolution,vertical_resolution
300,651,180,0,956205,2382728,1212484,198,70,332.0,92.0
300,651,180,1,956205,2389388,1221160,199,72,332.0,92.0
300,651,180,2,956205,2389384,1219904,199,71,332.0,92.0
300,651,180,3,956205,2382676,1212872,198,70,332.0,92.0
300,651,210,0,821467,2383472,1218076,217,108,332.0,92.0
300,651,210,1,821467,2382220,1212772,217,107,332.0,92.0
300,651,210,2,821467,2382788,1212472,217,107,332.0,92.0
300,651,210,3,821467,2368408,1220696,216,108,332.0,92.0
300,651,240,0,717154,2387940,1226424,232,137,332.0,92.0
300,651,240,1,717154,2377172,1220000,231,136,332.0,92.0
300,651,240,2,717154,2383380,1219160,232,136,332.0,92.0
300,651,240,3,717154,2375504,1219340,231,136,332.0,92.0
300,651,270,0,638596,2374868,1219124,242,158,332.0,92.0
300,651,270,1,638596,2368772,1212864,242,157,332.0,92.0
300,651,270,2,638596,2382392,1212752,243,157,332.0,92.0
300,651,270,3,638596,2368040,1219604,242,158,332.0,92.0
300,651,300,0,573723,2375320,1219180,251,175,332.0,92.0
300,651,300,1,573723,2389244,1212920,252,174,332.0,92.0
300,651,300,2,573723,2383624,1218248,252,175,332.0,92.0
300,651,300,3,573723,2367928,1219816,251,175,332.0,92.0
300,651,330,0,522320,2374676,1221360,258,190,332.0,92.0
300,651,330,1,522320,2368052,1213680,258,189,332.0,92.0
300,651,330,2,522320,2383260,1212584,259,188,332.0,92.0
300,651,330,3,522320,2367932,1212452,258,188,332.0,92.0
300,756,150,0,997821,2371644,1223368,221,70,383.0,107.0
300,756,150,0,997821,2385876,1225452,222,71,383.0,107.0
300,756,150,0,997821,2422244,1229256,225,72,383.0,107.0
300,756,150,1,997821,2379196,1216308,222,68,383.0,107.0
300,756,150,1,997821,2379452,1216196,222,68,383.0,107.0
300,756,150,1,997821,2379968,1223564,222,70,383.0,107.0
300,756,150,2,997821,2371692,1223224,221,70,383.0,107.0
300,756,150,2,997821,2372016,1219928,221,69,383.0,107.0
300,756,150,2,997821,2379332,1223456,222,70,383.0,107.0
300,756,150,3,997821,2378292,1232008,222,72,383.0,107.0
300,756,150,3,997821,2372316,1216776,221,68,383.0,107.0
300,756,150,3,997821,2378892,1220228,222,69,383.0,107.0
300,756,180,0,828878,2378420,1223648,249,123,383.0,107.0
300,756,180,1,828878,2384504,1216148,249,121,383.0,107.0
300,756,180,2,828878,2379244,1225052,249,123,383.0,107.0
300,756,180,3,828878,2490700,1216096,255,121,383.0,107.0
300,756,210,0,712081,2371732,1224268,268,160,383.0,107.0
300,756,210,1,712081,2371672,1216312,268,158,383.0,107.0
300,756,210,2,712081,2385928,1231940,268,161,383.0,107.0
300,756,210,3,712081,2378668,1217944,268,159,383.0,107.0
300,756,240,0,621658,2379380,1224492,282,188,383.0,107.0
300,756,240,1,621658,2376872,1216196,282,187,383.0,107.0
300,756,240,2,621658,2386872,1216668,283,187,383.0,107.0
300,756,240,3,621658,2378324,1223808,282,188,383.0,107.0
300,756,270,0,553561,2379188,1223528,293,209,383.0,107.0
300,756,270,1,553561,2372396,1216232,293,208,383.0,107.0
300,756,270,2,553561,2386184,1224672,294,209,383.0,107.0
300,756,270,3,553561,2378576,1231464,293,210,383.0,107.0
300,756,300,0,497326,2371696,1216192,302,226,383.0,107.0
300,756,300,1,497326,2378404,1223044,302,227,383.0,107.0
300,756,300,2,497326,2371564,1223128,302,227,383.0,107.0
300,756,300,3,497326,2380100,1222984,302,227,383.0,107.0
300,756,330,0,452768,2372856,1216364,309,240,383.0,107.0
300,756,330,1,452768,2376824,1222856,310,241,383.0,107.0
300,756,330,2,452768,2378700,1216340,310,240,383.0,107.0
300,756,330,3,452768,2380308,1216136,310,240,383.0,107.0
